"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPPER","2020-11-12","296","298","295","297","--","62667"
"UPPER","2020-11-11","296","297","295","296","0.00","51873"
"UPPER","2020-11-10","295","299","295","296","0.00","52170"
"UPPER","2020-11-09","298","298","295","296","-0.34","46149"
"UPPER","2020-11-08","295","300","295","297","0.68","79280"
"UPPER","2020-11-05","295","300","295","295","-0.67","46148"
"UPPER","2020-11-04","305","305","295","297","-0.67","54955"
"UPPER","2020-11-03","295","299","295","299","0.67","58745"
"UPPER","2020-11-02","300","300","295","297","-0.34","85931"
"UPPER","2020-11-01","295","301","294","298","1.02","122821"
"UPPER","2020-10-29","303","303","287","295","2.08","103037"
"UPPER","2020-10-28","284","290","284","289","1.05","61359"
"UPPER","2020-10-22","303","303","283","286","-1.04","40390"
"UPPER","2020-10-21","300","300","286","289","0.00","28685"
"UPPER","2020-10-20","284","289","284","289","2.12","34110"
"UPPER","2020-10-19","280","286","280","283","0.71","28738"
"UPPER","2020-10-18","287","287","278","281","-0.71","34872"
"UPPER","2020-10-15","286","287","281","283","0.71","34961"
"UPPER","2020-10-14","284","286","280","281","-0.71","56957"
"UPPER","2020-10-13","300","300","282","283","-1.05","48597"
"UPPER","2020-10-12","281","290","280","286","0.35","68080"
"UPPER","2020-10-11","286","297","284","285","-1.72","131788"
"UPPER","2020-10-08","302","307","290","290","-3.97","176086"
"UPPER","2020-10-07","292","306","290","302","3.78","309647"
"UPPER","2020-10-06","279","291","278","291","4.30","139366"
"UPPER","2020-10-05","273","282","273","279","1.45","77223"
"UPPER","2020-10-04","282","282","270","275","-2.48","110576"
"UPPER","2020-10-01","286","294","281","282","-2.42","98999"
"UPPER","2020-09-30","290","294","286","289","-0.69","92553"
"UPPER","2020-09-29","290","291","276","291","2.46","92897"
"UPPER","2020-09-28","290","291","280","284","-0.70","76202"
"UPPER","2020-09-27","293","293","278","286","-2.39","151966"
"UPPER","2020-09-24","275","295","275","293","6.55","330655"
"UPPER","2020-09-23","257","278","257","275","1.85","115474"
"UPPER","2020-09-22","268","276","268","270","-0.37","110398"
"UPPER","2020-09-21","270","281","264","271","0.37","94888"
"UPPER","2020-09-20","298","298","270","270","-4.93","148958"
"UPPER","2020-09-17","260","286","260","284","9.23","274521"
